algorithm,feature_set,training_condition,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,primary_metric
dummy,clinical,real_only,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5166666666666666,0.020619652471058042,0.6810810810810811,0.01783321294794214,balanced_accuracy
logistic_regression,clinical,real_only,0.8033508158508158,0.07875209815343834,0.8771017871017871,0.06501166811460947,0.7473076923076922,0.11991855271101898,0.8593939393939394,0.1033553749907396,0.8580004995004995,0.08941192133874153,0.7928999072540774,0.08608158813542892,balanced_accuracy
dummy,clinical_imaging,real_only,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5166666666666666,0.020619652471058042,0.6810810810810811,0.01783321294794214,balanced_accuracy
logistic_regression,clinical_imaging,real_only,0.8071969696969696,0.0903646435480631,0.8822581585081585,0.06644522442863735,0.76,0.1231483091423789,0.8543939393939394,0.13310623615606348,0.8606530136530136,0.11005867271143466,0.7999096361848115,0.09212729194237138,balanced_accuracy
